post_id,post_date,is_published,email_sent_at,inbox_sent_at,type,audience,title,subtitle,podcast_url
192183476.293-authority-without-answers,2026-03-26T08:51:22.737Z,true,2026-03-26T08:51:22.851Z,2026-03-26T08:51:22.851Z,newsletter,everyone,293: Authority Without Answers,"The End of Knowing, The Start of Inquiry",
191554866.292-momentum-is-authority,2026-03-20T06:57:13.601Z,true,2026-03-20T06:57:13.706Z,2026-03-20T06:57:13.706Z,newsletter,everyone,292: Momentum Is Authority, Leadership Without Control as the World Burns,
191453873.291-the-news-is-in-the-group-chat,2026-03-19T08:37:02.712Z,true,2026-03-19T08:37:02.830Z,2026-03-19T08:37:02.830Z,newsletter,everyone,291: The News is in the Group Chat,The Distributed Public and Political Sense-Making,
190494913.290-first-nations-and-the-next-generation,2026-03-10T11:31:40.500Z,true,2026-03-10T11:31:40.687Z,2026-03-10T11:31:40.687Z,newsletter,everyone,290: First Nations and the Next Generation of Farmers,"Demography, literacy, and the quiet revolution emerging in Canadian agriculture",
190271123.289-building-the-fleet-for-the-near,2026-03-08T11:05:21.228Z,true,2026-03-08T11:05:21.352Z,2026-03-08T11:05:21.352Z,newsletter,everyone,289: Building the Fleet for the Near Future,Leadership in the Ecology of Intelligence,
190098733.288-the-ecology-of-intelligence,2026-03-06T12:55:03.886Z,true,2026-03-06T12:55:03.997Z,2026-03-06T12:55:03.997Z,newsletter,everyone,288: The Ecology of Intelligence,"Humans, Agents, and the Future of Authority",
190002073.287-notes-from-the-epistemic-workshop,2026-03-05T14:49:41.323Z,true,2026-03-05T14:49:41.455Z,2026-03-05T14:49:41.455Z,newsletter,everyone,287: Notes from the Epistemic Workshop,Building Tools for Thinking in Public,
189541234.286-democracy-in-the-age-of-epistemic,2026-03-01T12:14:03.586Z,true,2026-03-01T12:14:03.735Z,2026-03-01T12:14:03.735Z,newsletter,everyone,286: Democracy in the Age of Epistemic War,"Literacy, Freedom, and the Governance of Intelligence",
189237623.285-the-emperor-is-naked-and-the,2026-02-26T11:02:57.011Z,true,2026-02-26T11:02:57.137Z,2026-02-26T11:02:57.137Z,newsletter,everyone,285: The Emperor Is Naked and the Machine Is Fluent,Literacy as the Missing Prerequisite of Power,
189117718.284-alto-sabotaged-by-facebook-nimbyism,2026-02-25T10:29:20.422Z,true,2026-02-25T10:29:20.540Z,2026-02-25T10:29:20.540Z,newsletter,everyone,284: Alto Sabotaged by Facebook NIMBYism?,Is it even possible to build infrastructure anymore?,
188256345.283-openclaw-and-authority-in-the,2026-02-17T13:09:33.033Z,true,2026-02-17T13:09:33.169Z,2026-02-17T13:09:33.169Z,newsletter,everyone,283: OpenClaw and Authority in the Age of Agents,Seize The Means of Coordination,
187844588.282-addiction-and-homelessness,2026-02-13T11:21:08.813Z,true,2026-02-13T11:21:08.968Z,2026-02-13T11:21:08.968Z,newsletter,everyone,282: Addiction and Homelessness,Addressing Alienation and Expected Emulation,
187726181.281-our-thought-dreams-can-now-be,2026-02-12T10:04:16.512Z,true,2026-02-12T10:04:16.628Z,2026-02-12T10:04:16.628Z,newsletter,everyone,281: Our Thought Dreams Can Now Be Seen,Confer.to and Authority as a Design Problem,
187493843.280-were-outside,2026-02-10T09:59:00.273Z,true,2026-02-10T09:59:00.420Z,2026-02-10T09:59:00.420Z,newsletter,everyone,280: We're Outside!,"Posture, Power, and the End of Seated Politics",
187389879.280-the-story-youre-not-allowed-to,,false,,,newsletter,only_paid,,,
186837531.279-from-taxpayers-to-caretakers,2026-02-04T09:31:21.615Z,true,2026-02-04T09:31:21.767Z,2026-02-04T09:31:21.767Z,newsletter,everyone,279: From Taxpayers to Caretakers,Why the Canadian Prairies Are at War With a Fiction,
186727520.278-the-delusions-of-the-disgruntled,2026-02-03T11:52:41.743Z,true,2026-02-03T11:52:41.900Z,2026-02-03T11:52:41.900Z,newsletter,everyone,278: The Delusions of the Disgruntled Taxpayer,Authority Is Not Customer Service,
186621497.kevin-bacon-and-the-great-epstein,2026-02-02T15:28:59.193Z,true,2026-02-02T15:28:59.353Z,2026-02-02T15:28:59.353Z,newsletter,everyone,277: Kevin Bacon and The Great Epstein Retcon,Why Power Prefers Confusion to Control,
185954719.276-the-politics-of-the-face,2026-01-27T12:42:57.928Z,true,2026-01-27T12:42:58.067Z,2026-01-27T12:42:58.067Z,newsletter,everyone,276: The Politics of the Face,"Poison, Perfected",
185824009.275-who-are-canadas-tech-giants-aligned,2026-01-26T10:31:28.094Z,true,2026-01-26T10:31:28.272Z,2026-01-26T10:31:28.272Z,newsletter,everyone,275: Who Are Canada’s Tech Giants Aligned With?,The Canadian Companies Inside America’s Intelligence Stack,
185718034.what-if-trump-just-wants-alberta,2026-01-25T11:56:40.558Z,true,2026-01-25T11:56:40.719Z,2026-01-25T11:56:40.719Z,newsletter,everyone,274: What if Trump just wants Alberta?,A province eager to become a red state?,
185398671.273-idiot-wind-capital-flight-and,2026-01-22T10:23:21.328Z,true,2026-01-22T10:23:21.520Z,2026-01-22T10:23:21.520Z,newsletter,everyone,"273: Idiot Wind, Capital Flight, and the Weather of Despair",Our leaders speak to wealth while the rest of us freeze,
184857798.272-jim-crow-for-all,2026-01-18T10:31:20.675Z,true,2026-01-18T10:31:20.880Z,2026-01-18T10:31:20.880Z,newsletter,everyone,272: Jim Crow for All,Understanding The Trump Confederacy,
184852140.271-will-greenland-be-thiels-moment,2026-01-17T10:54:20.353Z,true,2026-01-17T10:54:20.515Z,2026-01-17T10:54:20.515Z,newsletter,everyone,271: Will Greenland Be Thiel's Moment?,Are we missing the significance of this seismic shift?,
184752045.270-the-algorithm-is-the-road,2026-01-16T10:48:52.363Z,true,2026-01-16T10:48:52.541Z,2026-01-16T10:48:52.541Z,newsletter,everyone,270: The Algorithm Is the Road,Avoiding Another Avro Arrow,
184530866.269-the-future-of-the-canadian-auto,2026-01-14T10:49:01.525Z,true,2026-01-14T10:49:01.741Z,2026-01-14T10:49:01.741Z,newsletter,everyone,269: The Future of the Canadian Auto Industry is in the Commons,The Commons of Autonomy,
184111266.268-the-platform-for-the-anschluss,2026-01-10T11:02:37.955Z,true,2026-01-10T11:02:38.100Z,2026-01-10T11:02:38.100Z,newsletter,everyone,268: The Platform for the Anschluss,How Facebook Became Canada’s Shadow Media System,
184007042.267-before-the-anschluss,2026-01-09T10:43:23.182Z,true,2026-01-09T10:43:23.361Z,2026-01-09T10:43:23.361Z,newsletter,everyone,267: Before the Anschluss,The Politics of Inevitability Then and Now,
183772833.265-understanding-the-cowardly-and,2026-01-07T10:02:17.600Z,true,2026-01-07T10:02:17.779Z,2026-01-07T10:02:17.779Z,newsletter,everyone,265: Understanding the Cowardly and Craven Canadian,Choosing Obedience Over Opportunity,
183538479.264-the-coup-without-a-coup,2026-01-05T11:47:01.687Z,true,2026-01-05T11:47:01.864Z,2026-01-05T11:47:01.864Z,newsletter,everyone,264: The Coup Without a Coup,How Authority Is Removed in the Age of Hybrid War,
183270148.263-if-youre-reading-this,2026-01-03T10:41:17.558Z,true,2026-01-03T10:41:17.739Z,2026-01-03T10:41:17.739Z,newsletter,everyone,263: If You’re Reading This,Notes from the Knowledge Farm,
183160752.262-the-hidden-ideology-of-the-ai,2026-01-02T11:02:50.365Z,true,2026-01-02T11:02:50.507Z,2026-01-02T11:02:50.507Z,newsletter,everyone,262: The Hidden Ideology of AI,Why Boosters and Doomsters Share the Same Dangerous Assumptions,
183133706.261-when-the-ai-bubble-bursts,2026-01-01T12:30:32.021Z,true,2026-01-01T12:30:32.233Z,2026-01-01T12:30:32.233Z,newsletter,everyone,261: When the AI Bubble Bursts,What Power Looks Like When the Hype Collapses,
182945489.260-brampton-the-slur-that-sums-up,2025-12-30T10:46:20.421Z,true,2025-12-30T10:46:20.579Z,2025-12-30T10:46:20.579Z,newsletter,everyone,260: Brampton: The Slur That Sums Up 2025,The Not So Subtle Sign of Canada's Growing Conflict,
182405002.259-nobody-voted-for-this,2025-12-23T10:27:26.677Z,true,2025-12-23T10:27:26.813Z,2025-12-23T10:27:26.813Z,newsletter,everyone,259: Nobody Voted for This,From governance to soft annexation,
182162388.258-the-soft-annexation-of-the-prairies,2025-12-20T11:55:07.446Z,true,2025-12-20T11:55:07.601Z,2025-12-20T11:55:07.601Z,newsletter,everyone,258: The Soft Annexation of the Prairies,A Crimean Playbook for North America,
182080256.257-scam-capitalism,2025-12-19T12:50:57.043Z,true,2025-12-19T12:50:57.181Z,2025-12-19T12:50:57.181Z,newsletter,everyone,257: Scam Capitalism,How Meta Uses Fraud as a Business Model,
181881092.5fc,,false,,,page,everyone,,,
181880067.256-how-food-power-gets-built,2025-12-17T11:55:10.853Z,true,2025-12-17T11:55:11.021Z,2025-12-17T11:55:11.021Z,newsletter,everyone,256: How Food Power Gets Built,Designing Food Power — Part IV,
181777224.255-the-intelligence-layer-of-food,2025-12-16T11:00:03.028Z,true,2025-12-16T11:00:03.162Z,2025-12-16T11:00:03.162Z,newsletter,everyone,255: The Intelligence Layer of Food Power,Designing Food Power — Part III,
181671576.254-the-hidden-architecture-of-food,2025-12-15T11:29:22.518Z,true,2025-12-15T11:29:22.670Z,2025-12-15T11:29:22.670Z,newsletter,everyone,254: The Hidden Architecture of Food Security,Designing Food Power — Part II,
181581138.253-why-food-should-be-free-and-profitable,2025-12-14T12:05:09.345Z,true,2025-12-14T12:05:09.494Z,2025-12-14T12:05:09.494Z,newsletter,everyone,253: Why Food Should Be Free and Profitable,Designing Food Power — Part I,
181523951.252-the-collapse-of-local-authority,2025-12-13T17:04:58.986Z,true,2025-12-13T17:04:59.161Z,2025-12-13T17:04:59.161Z,newsletter,everyone,252: The Collapse of Local Authority,The Canary in the Rideau Lakes Council Chamber,
181327396.251-the-spectacle-of-wokeness,2025-12-11T12:58:38.016Z,true,2025-12-11T12:58:38.217Z,2025-12-11T12:58:38.217Z,newsletter,everyone,251: The Spectacle of Wokeness,How the Right Built a Bogeyman,
181054441.250-the-curious-case-of-yves-engler,2025-12-08T16:22:52.563Z,true,2025-12-08T16:22:52.728Z,2025-12-08T16:22:52.728Z,newsletter,everyone,250: The Curious Case of Yves Engler,And The Inherent Insularity of Party Politics,
180112300.249-science-and-the-seduction-of,2025-11-27T16:12:11.586Z,true,2025-11-27T16:12:11.706Z,2025-11-27T16:12:11.706Z,newsletter,everyone,249: Science and the Seduction of Authoritarianism,The Capture of Curiosity,
179929343.248-solving-the-productivity-paradox,2025-11-25T15:30:18.502Z,true,2025-11-25T15:30:18.776Z,2025-11-25T15:30:18.776Z,newsletter,everyone,248: Solving the Productivity Paradox,The Missing Variable Is Care,
179636643.247-attention-appetite-and-power,2025-11-22T11:31:48.103Z,true,2025-11-22T11:31:48.259Z,2025-11-22T11:31:48.259Z,newsletter,everyone,"247: Attention, Appetite, and Power",A Country That Doesn’t Understand Its Food Has No Future,
179548707.246-canada-has-no-future-without,2025-11-21T12:04:36.312Z,true,2025-11-21T12:04:36.474Z,2025-11-21T12:04:36.474Z,newsletter,everyone,246: Canada Has No Future Without a New Imagination,The Current Failure of Canadian Leadership,
178341762.245-are-todays-militaries-able-to,2025-11-08T11:17:26.716Z,true,2025-11-08T11:17:26.880Z,2025-11-08T11:17:26.880Z,newsletter,everyone,245: Are Today’s Militaries Able to Fight Today’s Wars?,"Not without new leadership, culture, and structure",
178168618.244-the-prediction-markets-that-ate,2025-11-06T11:18:59.468Z,true,2025-11-06T11:18:59.644Z,2025-11-06T11:18:59.644Z,newsletter,everyone,244: The Prediction Markets That Ate the State,Speculating on When the Society of the Spectacle Crashes,
177991018.243-the-eye-of-the-storm,2025-11-04T15:49:54.838Z,true,2025-11-04T15:49:54.982Z,2025-11-04T15:49:54.982Z,newsletter,everyone,243: The Eye of the Storm,The other shoe is bound to drop sooner rather than later,
177169637.242-the-us-civil-war-of-2025,2025-10-26T12:12:50.012Z,true,2025-10-26T12:12:50.135Z,2025-10-26T12:12:50.135Z,newsletter,everyone,242: The US Civil War of 2025,Understanding Hybrid Civil War,
177000141.241-an-ineffective-police-state,2025-10-24T11:28:12.509Z,true,2025-10-24T11:28:12.666Z,2025-10-24T11:28:12.666Z,newsletter,everyone,241: An Ineffective Police State,"If you're not out of the pot, you're cooked",
175709699.240-meshuga-from-the-meshugaas,2025-10-09T13:22:11.926Z,true,2025-10-09T13:22:12.080Z,2025-10-09T13:22:12.080Z,newsletter,everyone,240: Meshuga from the Meshugaas,The narratives are infectious and irrelevant,
174730193.239-generals-gather-in-their-masses,2025-09-28T10:11:39.534Z,true,2025-09-28T10:11:39.650Z,2025-09-28T10:11:39.650Z,newsletter,everyone,239: Generals Gather in Their Masses,Prelude to a revolution instead of a purge?,
174534332.238-delirious,2025-09-25T14:30:32.422Z,true,2025-09-25T14:30:32.514Z,2025-09-25T14:30:32.514Z,newsletter,everyone,238: Delirious,Succumbing to the Society of the Spectacle,
173514723.237-the-gen-z-assassin,2025-09-13T15:13:01.266Z,true,2025-09-13T15:13:01.341Z,2025-09-13T15:13:01.341Z,newsletter,everyone,237: The Gen Z Assassin,A National Celebration of Political Assassination,
171644725.236-when-the-ai-bubble-bursts,2025-08-22T11:23:58.134Z,true,2025-08-22T11:23:58.234Z,2025-08-22T11:23:58.234Z,newsletter,everyone,236: When the AI Bubble Bursts,A matter of when and not if,
